captura,condicao,junta,amp_deg,lag_ms,peak_corr,mae_deg,rmse_deg,emax_deg,r_pearson,rmse_sem_compensar_deg
latency_real_to_sim_20260706_105923,drag teach,joint1,5.542273,-71.738362,0.999998,0.004064,0.012272,0.151133,0.999998,0.325881
latency_real_to_sim_20260706_105923,drag teach,joint2,2.840456,-71.288997,0.999995,0.003086,0.009386,0.100944,0.999995,0.277532
latency_real_to_sim_20260706_105923,drag teach,joint3,4.999136,-71.274070,0.999994,0.007468,0.016190,0.165946,0.999994,0.473014
latency_real_to_sim_20260706_105923,drag teach,joint4,11.459871,-71.595215,0.999999,0.009226,0.018742,0.154555,0.999999,0.589025
latency_real_to_sim_20260706_105923,drag teach,joint5,18.113227,-71.096946,0.999988,0.025635,0.092397,1.332049,0.999988,0.895273
latency_real_to_sim_20260706_105923,drag teach,joint6,18.525104,-71.905969,0.999999,0.010160,0.030846,0.580915,0.999999,0.795295
latency_real_to_sim_20260706_161000,drag teach,joint1,0.357356,-71.540468,0.999997,0.000162,0.000812,0.014886,0.999997,0.026768
latency_real_to_sim_20260706_161000,drag teach,joint2,7.400381,-71.415329,0.999997,0.009839,0.017647,0.178441,0.999997,0.491895
latency_real_to_sim_20260706_161000,drag teach,joint3,7.807970,-71.473615,0.999998,0.010360,0.016055,0.091379,0.999998,0.574874
latency_real_to_sim_20260706_161000,drag teach,joint4,8.697393,-72.484053,0.999976,0.008202,0.063005,1.093216,0.999976,0.333665
latency_real_to_sim_20260706_161030,drag teach,joint3,8.188883,-71.554581,0.999995,0.018326,0.027267,0.148531,0.999995,0.971508
latency_real_to_sim_20260706_161030,drag teach,joint4,33.155634,-71.417759,1.000000,0.018794,0.032461,0.212600,1.000000,1.194066
latency_real_to_sim_20260706_161030,drag teach,joint5,3.583438,-71.445644,0.999994,0.003385,0.012847,0.137211,0.999994,0.442010
latency_real_to_sim_20260706_161100,drag teach,joint1,4.341837,-71.445129,0.999997,0.005762,0.011400,0.069323,0.999997,0.407317
latency_real_to_sim_20260706_161100,drag teach,joint2,3.093146,-71.617194,0.999996,0.003827,0.009363,0.089162,0.999996,0.339959
latency_real_to_sim_20260706_161100,drag teach,joint3,6.812180,-71.418225,0.999995,0.012653,0.021211,0.113654,0.999995,0.735545
latency_real_to_sim_20260706_161100,drag teach,joint4,17.739331,-71.494267,1.000000,0.008807,0.017509,0.133433,1.000000,0.614445
latency_real_to_sim_20260706_161818,GUI jog,joint3,2.855074,-77.513367,0.997329,0.102103,0.215640,1.516918,0.997329,0.612827
latency_real_to_sim_20260706_161859,GUI jog,joint3,3.865390,-77.290113,0.997409,0.111145,0.282913,2.098169,0.997409,0.639871
latency_real_to_sim_20260706_161932,GUI jog,joint3,3.186093,-79.848556,0.995260,0.135342,0.313884,1.792100,0.995260,0.660074
latency_real_to_sim_20260910_123400,drag teach,joint1,3.938543,-71.456906,0.999998,0.003217,0.008227,0.100101,0.999998,0.279991
latency_real_to_sim_20260910_123400,drag teach,joint3,6.571419,-71.549018,0.999996,0.009502,0.018896,0.141885,0.999996,0.647615
latency_real_to_sim_20260910_123400,drag teach,joint4,14.310054,-71.753616,0.999998,0.019697,0.030556,0.200997,0.999998,1.113313
latency_real_to_sim_20260910_123400,drag teach,joint5,23.775040,-71.626367,0.999999,0.017099,0.033648,0.206988,0.999999,1.230453
latency_real_to_sim_20260910_123400,drag teach,joint6,17.459629,-71.690922,0.999998,0.016334,0.034499,0.269486,0.999998,1.280662
latency_real_to_sim_20260910_123437,drag teach,joint1,7.183078,-71.616761,0.999999,0.003402,0.008079,0.065075,0.999999,0.312456
latency_real_to_sim_20260910_123437,drag teach,joint2,1.781725,-71.634379,0.999996,0.001947,0.005386,0.049863,0.999996,0.200168
latency_real_to_sim_20260910_123437,drag teach,joint3,5.996334,-71.615624,0.999997,0.009454,0.015993,0.094569,0.999997,0.584349
latency_real_to_sim_20260910_123437,drag teach,joint4,8.462378,-71.738776,0.999997,0.009912,0.020654,0.214853,0.999997,0.738982
latency_real_to_sim_20260910_123437,drag teach,joint5,17.633532,-71.630156,0.999996,0.032041,0.050120,0.302439,0.999996,1.845977
latency_real_to_sim_20260910_123437,drag teach,joint6,19.098654,-71.636511,0.999999,0.016620,0.032981,0.207333,0.999999,1.336814
latency_real_to_sim_20260910_123505,drag teach,joint1,3.168604,-71.205639,0.999999,0.001423,0.005165,0.080006,0.999999,0.207320
latency_real_to_sim_20260910_123505,drag teach,joint2,0.512818,-71.500865,0.999997,0.000560,0.001166,0.016121,0.999997,0.028596
latency_real_to_sim_20260910_123505,drag teach,joint3,6.092295,-71.627478,0.999997,0.007867,0.014491,0.109697,0.999997,0.519895
latency_real_to_sim_20260910_123505,drag teach,joint4,5.596338,-71.707214,0.999995,0.008716,0.017362,0.141978,0.999995,0.567705
latency_real_to_sim_20260910_123505,drag teach,joint5,16.944707,-71.555242,0.999996,0.027895,0.048267,0.354501,0.999996,1.613111
latency_real_to_sim_20260910_123505,drag teach,joint6,22.353082,-71.645020,0.999999,0.014302,0.033320,0.227463,0.999999,1.181554
